,checking_account,duration,credit_history,purpose,credit_amount,bonds,employment_since,installment_rate,status_sex,other_debtors,residence,property,age,other_installment_plans,housing,number_of_credit,job,number_of_people,telephone,foreign_worker,target
800,4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,2,2,1,1,1
801,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1,1
802,1,20,4,2,4272,1,5,1,2,1,4,2,24,3,2,2,2,1,1,1,1
803,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,2,1,1,1,1
804,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1,1
805,1,36,2,0,9271,1,4,2,3,1,1,3,24,3,2,1,2,1,2,1,0
806,2,6,2,3,590,1,2,3,4,1,3,1,26,3,2,1,2,1,1,2,1
807,4,12,4,3,930,5,5,4,3,1,4,1,65,3,2,4,2,1,1,1,1
808,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,3,1,2,1,1
809,2,15,0,0,1778,1,2,2,2,1,1,1,26,3,1,2,1,1,1,1,0
810,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,2,1,2,1,1
811,2,6,2,3,484,1,4,3,4,3,3,1,28,1,2,1,2,1,1,1,1
812,1,36,4,1,9629,1,4,4,3,1,4,3,24,3,2,2,2,1,2,1,0
813,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,2,1,1,1,0
814,1,48,2,0,3931,1,4,4,3,1,4,4,46,3,3,1,2,2,1,1,0
815,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,2,1,1,1,1
816,4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,2,1,1,1,1
817,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,2,1,2,1,1
818,1,36,2,10,15857,1,1,2,1,2,3,3,43,3,2,1,3,1,1,1,1
819,1,18,2,3,1345,1,3,4,4,1,3,1,26,1,2,1,2,1,1,1,0
820,4,12,2,0,1101,1,3,3,4,1,2,1,27,3,2,2,2,1,2,1,1
821,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,2,1,1,1,1
822,1,36,2,2,2712,1,5,2,3,1,2,2,41,1,2,1,2,2,1,1,0
823,1,8,4,0,731,1,5,4,3,1,4,1,47,3,2,2,2,1,1,1,1
824,4,18,4,2,3780,1,2,3,1,1,2,3,35,3,2,2,3,1,2,1,1
825,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,2,1,2,1,1
826,1,18,4,0,3966,1,5,1,2,1,4,1,33,1,1,3,2,1,2,1,0
827,4,18,0,9,4165,1,3,2,3,1,2,3,36,2,2,2,2,2,1,1,0
828,1,36,2,1,8335,5,5,3,3,1,4,4,47,3,3,1,2,1,1,1,0
829,2,48,3,9,6681,5,3,4,3,1,4,4,38,3,3,1,2,2,2,1,1
830,4,24,3,9,2375,3,3,4,3,1,2,3,44,3,2,2,2,2,2,1,1
831,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,2,1,2,1,0
832,1,45,0,9,11816,1,5,2,3,1,4,3,29,3,1,2,2,1,1,1,0
833,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,2,1,2,1,1
834,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,1,1,1,0
835,1,12,0,0,1082,1,3,4,3,1,4,3,48,1,2,2,2,1,1,1,0
836,4,12,2,3,886,5,3,4,2,1,2,3,21,3,2,1,2,1,1,1,1
837,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1,1
838,1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,2,1,2,1,1
839,4,24,4,3,2611,1,5,4,4,2,3,1,46,3,2,2,2,1,1,1,1
840,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,2,1,1,1,0
841,4,21,3,1,2993,1,3,3,3,1,2,1,28,2,2,2,2,1,1,1,1
